BLOCK,LATITUDE,LONGITUDE,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT
1 - 99 BLOCK OF PEABODY STREET NW,38.96269767,-77.0107138,4,4B,4.0,406.0,Cluster 17,001902 2,1902.0,Precinct 64
1 - 99 BLOCK OF PIERCE STREET NE,38.90469004,-77.00747722,6,6E,5.0,501.0,Cluster 25,010603 3,10603.0,Precinct 144
1 - 99 BLOCK OF POTOMAC AVENUE SE,38.87142554,-77.00722886,8,8F,1.0,106.0,Cluster 27,007201 4,7201.0,Precinct 131
1 - 99 BLOCK OF Q STREET NE,38.91111044,-77.00779958,5,5F,5.0,502.0,Cluster 21,008701 1,8701.0,Precinct 75
1 - 99 BLOCK OF Q STREET NW,38.91112091,-77.01099004,5,5E,3.0,308.0,Cluster 21,004600 1,4600.0,Precinct 19
1 - 99 BLOCK OF QUINCY PLACE NW,38.91185903,-77.0102543,5,5E,3.0,308.0,Cluster 21,003302 2,3302.0,Precinct 19
1 - 99 BLOCK OF R STREET NW,38.91260236,-77.0106032,5,5E,3.0,308.0,Cluster 21,003302 2,3302.0,Precinct 19
1 - 99 BLOCK OF RANDOLPH PLACE NW,38.91334366,-77.01060342,5,5E,3.0,308.0,Cluster 21,003302 2,3302.0,Precinct 19
1 - 99 BLOCK OF RHODE ISLAND AVENUE NW,38.91626452,-77.01059648,5,5E,3.0,306.0,Cluster 21,003301 2,3301.0,Precinct 135
1 - 99 BLOCK OF ROCK CREEK CHURCH ROAD NW,38.94387052,-77.01208944,4,4C,4.0,407.0,Cluster 18,002301 2,2301.0,Precinct 46
1 - 99 BLOCK OF S STREET NE,38.91408125,-77.00857809,5,5F,5.0,502.0,Cluster 21,008701 1,8701.0,Precinct 75
1 - 99 BLOCK OF S STREET NW,38.91408072,-77.0106025,5,5E,3.0,308.0,Cluster 21,003302 1,3302.0,Precinct 19
1 - 99 BLOCK OF SEATON PLACE NE,38.914824,-77.00840038,5,5F,5.0,502.0,Cluster 21,008701 1,8701.0,Precinct 75
1 - 99 BLOCK OF SEATON PLACE NW,38.91482282,-77.01066775,5,5E,3.0,308.0,Cluster 21,003302 1,3302.0,Precinct 19
1 - 99 BLOCK OF SHERIDAN STREET NW,38.9664186,-77.00990087,4,4B,4.0,406.0,Cluster 19,001702 2,1702.0,Precinct 64
1 - 99 BLOCK OF T STREET NW,38.9155662,-77.01060283,5,5E,3.0,308.0,Cluster 21,003302 1,3302.0,Precinct 19
1 - 99 BLOCK OF TUCKERMAN STREET NE,38.96734199,-77.00802659,4,4B,4.0,406.0,Cluster 19,009505 2,9505.0,Precinct 64
1 - 99 BLOCK OF U STREET NW,38.91699726,-77.01066647,5,5E,3.0,306.0,Cluster 21,003301 2,3301.0,Precinct 135
1 - 99 BLOCK OF UNDERWOOD STREET NE,38.96821606,-77.00811865,4,4B,4.0,406.0,Cluster 19,009505 2,9505.0,Precinct 64
1 - 99 BLOCK OF V STREET NE,38.9181073,-77.00792788,5,5E,5.0,502.0,Cluster 21,009203 2,9203.0,Precinct 135
1 - 99 BLOCK OF V STREET NW,38.91810555,-77.01066433,5,5E,3.0,306.0,Cluster 21,003301 1,3301.0,Precinct 135
1 - 99 BLOCK OF V STREET SW,38.86462425,-77.01161365,6,6D,1.0,105.0,Cluster 9,006400 2,6400.0,Precinct 127
1 - 99 BLOCK OF VARNUM STREET NE,38.94286366,-77.00653407,5,5A,4.0,405.0,Cluster 19,009510 2,9510.0,Precinct 44
1 - 99 BLOCK OF W STREET NW,38.91917322,-77.01059553,5,5E,3.0,306.0,Cluster 21,003301 1,3301.0,Precinct 135
1- 1 BLOCK OF SCOTT CIRCLE NW,38.90745896,-77.03652168,2,2B,2.0,208.0,Cluster 6,005202 2,5202.0,Precinct 16
10 - 10 BLOCK OF THOMAS CIRCLE NW,38.90584998,-77.03155917,2,2F,3.0,307.0,Cluster 7,005003 2,5003.0,Precinct 17
10 - 199 BLOCK OF DANBURY STREET SW,38.82778814,-77.01064623,8,8D,7.0,708.0,Cluster 39,009807 3,9807.0,Precinct 126
10 - 99 BLOCK OF 49TH PLACE NE,38.89040083,-76.93114571,7,7C,6.0,608.0,Cluster 33,007804 3,7804.0,Precinct 97
10 - 99 BLOCK OF ATLANTIC STREET SE,38.8312998,-77.00678178,8,8D,7.0,707.0,Cluster 39,009803 2,9803.0,Precinct 124
10 - 99 BLOCK OF R STREET NE,38.91259188,-77.00754169,5,5F,5.0,502.0,Cluster 21,008701 1,8701.0,Precinct 75
10 - 99 BLOCK OF RIDGE SQUARE NW,38.94003051,-77.07780675,3,3A,2.0,204.0,Cluster 14,001002 2,1002.0,Precinct 29
100 - 101 BLOCK OF RIDGE ROAD SE,38.88809784,-76.95140997,7,7F,6.0,603.0,Cluster 32,007703 2,7703.0,Precinct 103
100 - 103 BLOCK OF HARRY THOMAS WAY NE,38.91058168,-77.00352481,5,5F,5.0,502.0,Cluster 21,008702 3,8702.0,Precinct 75
100 - 107 BLOCK OF IRVINGTON STREET SW,38.82070447,-77.00771313,8,8D,7.0,708.0,Cluster 39,010900 2,10900.0,Precinct 126
100 - 111 BLOCK OF 14TH STREET NE,38.89119837,-76.98551016,6,6A,1.0,108.0,Cluster 26,008002 1,8002.0,Precinct 86
100 - 115 BLOCK OF RHODE ISLAND AVENUE NW,38.91564565,-77.01240844,5,5E,3.0,306.0,Cluster 21,003301 2,3301.0,Precinct 135
100 - 117 BLOCK OF 15TH STREET NE,38.89119992,-76.98364605,7,7D,1.0,108.0,Cluster 26,008002 1,8002.0,Precinct 86
100 - 118 BLOCK OF 53RD STREET SE,38.88710245,-76.92562305,7,7E,6.0,604.0,Cluster 33,009905 1,9905.0,Precinct 104
100 - 119 BLOCK OF 8TH STREET SE,38.88828332,-76.99496255,6,6B,1.0,107.0,Cluster 26,006600 1,6600.0,Precinct 89
100 - 119 BLOCK OF FLORIDA AVENUE NE,38.90905751,-77.0049596,5,5F,5.0,501.0,Cluster 23,008702 3,8702.0,Precinct 75
100 - 120 BLOCK OF MADISON STREET NW,38.95873336,-77.012111,4,4B,4.0,406.0,Cluster 17,002102 1,2102.0,Precinct 64
100 - 127 BLOCK OF 50TH STREET NE,38.89133029,-76.93005488,7,7C,6.0,608.0,Cluster 33,007804 3,7804.0,Precinct 97
100 - 130 BLOCK OF 56TH PLACE SE,38.88782929,-76.92023608,7,7C,6.0,604.0,Cluster 33,009903 2,9903.0,Precinct 105
100 - 134 BLOCK OF WILMINGTON PLACE SE,38.83667906,-77.00512596,8,8D,7.0,707.0,Cluster 39,009803 1,9803.0,Precinct 124
100 - 138 BLOCK OF W STREET NW,38.9191748,-77.01284482,5,5E,3.0,306.0,Cluster 21,003301 3,3301.0,Precinct 135
100 - 139 BLOCK OF TODD PLACE NE,38.9162799,-77.00581868,5,5F,5.0,502.0,Cluster 21,008701 2,8701.0,Precinct 75
100 - 139 BLOCK OF U STREET NE,38.91699634,-77.00581771,5,5F,5.0,502.0,Cluster 21,008701 2,8701.0,Precinct 75
100 - 139 BLOCK OF UPSAL STREET SE,38.83798798,-77.00519493,8,8D,7.0,707.0,Cluster 39,009803 1,9803.0,Precinct 124
100 - 146 BLOCK OF WAYNE PLACE SE,38.83515394,-77.00482005,8,8D,7.0,707.0,Cluster 39,009803 3,9803.0,Precinct 124
100 - 149 BLOCK OF 14TH STREET SE,38.88828731,-76.98551248,6,6B,1.0,107.0,Cluster 26,006700 1,6700.0,Precinct 88
100 - 149 BLOCK OF 57TH PLACE SE,38.88770519,-76.91924139,7,7C,6.0,604.0,Cluster 33,009903 1,9903.0,Precinct 105
